data,denoise method,mode,random seed,ARI,NMI,SC
endoderm,multinomial,raw,1111,0.6055332178891343,0.7567677265714411,0.55532336
endoderm,multinomial,raw,2222,0.5951712417227256,0.7484081465703816,0.56175965
endoderm,multinomial,raw,3333,0.6048385393125677,0.7460285362131035,0.55966234
endoderm,multinomial,raw,4444,0.6186017168135023,0.7586061182165209,0.54470557
endoderm,multinomial,raw,5555,0.6313422750791814,0.7604157377582147,0.55838287
endoderm,multinomial,denoise,1111,0.7946826677325431,0.8836552086939589,0.64321136
endoderm,multinomial,denoise,2222,0.7987906016157443,0.8875451668391983,0.64030695
endoderm,multinomial,denoise,3333,0.9792993586534202,0.9751655779626466,0.63785076
endoderm,multinomial,denoise,4444,0.9499047013099513,0.9484512201187705,0.6162466
endoderm,multinomial,denoise,5555,0.9621606377112967,0.9591178237719217,0.60969627
endoderm-500,multinomial,raw,1111,0.13172598945019817,0.1862933023099026,0.3531351
endoderm-500,multinomial,raw,2222,0.12628118951180284,0.1797030404964672,0.3507822
endoderm-500,multinomial,raw,3333,0.12458402514351702,0.18279392157291113,0.3554382
endoderm-500,multinomial,raw,4444,0.11865433691007753,0.1852356188705117,0.3516938
endoderm-500,multinomial,raw,5555,0.126199581926445,0.18239101492163656,0.35594752
endoderm-500,multinomial,denoise,1111,0.41160403683691366,0.53718563571929,0.5100766
endoderm-500,multinomial,denoise,2222,0.42547614595186745,0.5459612519458005,0.49776328
endoderm-500,multinomial,denoise,3333,0.428259546914631,0.548407241869694,0.49893618
endoderm-500,multinomial,denoise,4444,0.42845298433934326,0.5499015235158652,0.4943592
endoderm-500,multinomial,denoise,5555,0.4178803552259525,0.5409505406098947,0.5173726
endoderm-1000,multinomial,raw,1111,0.43150559726790744,0.5043807089015292,0.39000103
endoderm-1000,multinomial,raw,2222,0.43943868158452,0.5126118611822273,0.3910026
endoderm-1000,multinomial,raw,3333,0.4050874860713192,0.48265828369981856,0.39151266
endoderm-1000,multinomial,raw,4444,0.3872088978679914,0.4665617838083728,0.38715115
endoderm-1000,multinomial,raw,5555,0.41887061489485206,0.4858316727344201,0.3924166
endoderm-1000,multinomial,denoise,1111,0.5198739393743218,0.6712991396278892,0.5657136
endoderm-1000,multinomial,denoise,2222,0.5226252995515166,0.6708342191037829,0.5696836
endoderm-1000,multinomial,denoise,3333,0.5252544500145883,0.6711736032433241,0.57199824
endoderm-1000,multinomial,denoise,4444,0.5160485430184528,0.6637420990775862,0.59309125
endoderm-1000,multinomial,denoise,5555,0.5189364174836465,0.6703586629122731,0.57969075
endoderm-5000,multinomial,raw,1111,0.7093743433088823,0.8001042802211243,0.5603882
endoderm-5000,multinomial,raw,2222,0.6927305222090868,0.7936946333530213,0.5532719
endoderm-5000,multinomial,raw,3333,0.7420705112087047,0.8180074335541073,0.5856626
endoderm-5000,multinomial,raw,4444,0.7185144228501846,0.8041185680322146,0.5909199
endoderm-5000,multinomial,raw,5555,0.7392961997004638,0.8137463738869343,0.5767864
endoderm-5000,multinomial,denoise,1111,0.6993271204652668,0.8315357190403999,0.5935724
endoderm-5000,multinomial,denoise,2222,0.6981728640793522,0.8379590923659122,0.59303653
endoderm-5000,multinomial,denoise,3333,0.6988907978956568,0.8315418462490173,0.6074895
endoderm-5000,multinomial,denoise,4444,0.6954615480411748,0.8325747315989714,0.61261654
endoderm-5000,multinomial,denoise,5555,0.6909550968190524,0.8303080397969085,0.56682146
endoderm-10000,multinomial,raw,1111,0.6486040607225193,0.7490892265372072,0.58510184
endoderm-10000,multinomial,raw,2222,0.6705523274124393,0.7795032286166619,0.57857156
endoderm-10000,multinomial,raw,3333,0.6254401964654047,0.7522902594240145,0.5845947
